Time,,Page load time
2018/12/03 22:52:00,PST,192.0
2018/12/03 23:36:00,PST,351.0
2018/12/04 00:20:00,PST,321.0
2018/12/04 01:04:00,PST,458.0
2018/12/04 01:48:00,PST,317.0
2018/12/04 02:32:00,PST,335.0
2018/12/04 03:16:00,PST,325.0
2018/12/04 04:00:00,PST,412.0
2018/12/04 04:44:00,PST,383.0
2018/12/04 05:28:00,PST,390.0
2018/12/04 06:12:00,PST,299.0
2018/12/04 06:56:00,PST,378.0
2018/12/04 07:40:00,PST,334.0
2018/12/04 08:24:00,PST,575.0
2018/12/04 09:08:00,PST,279.0
2018/12/04 09:52:00,PST,306.0
2018/12/04 10:36:00,PST,377.0
2018/12/04 11:20:00,PST,424.0
2018/12/04 12:04:00,PST,279.0
2018/12/04 12:48:00,PST,389.0
2018/12/04 13:32:00,PST,331.0
2018/12/04 14:16:00,PST,487.0
2018/12/04 15:00:00,PST,356.0
2018/12/04 15:44:00,PST,332.0
2018/12/04 16:28:00,PST,332.0
2018/12/04 17:12:00,PST,361.0
2018/12/04 17:56:00,PST,620.0
2018/12/04 18:40:00,PST,321.0
2018/12/04 19:24:00,PST,391.0
2018/12/04 20:08:00,PST,268.0
2018/12/04 20:52:00,PST,300.0
2018/12/04 21:36:00,PST,480.0
2018/12/04 22:20:00,PST,357.0
2018/12/04 23:04:00,PST,360.0
2018/12/04 23:48:00,PST,398.0
2018/12/05 00:32:00,PST,339.0
2018/12/05 01:16:00,PST,369.0
2018/12/05 02:00:00,PST,394.0
2018/12/05 02:44:00,PST,1227.0
2018/12/05 03:28:00,PST,308.0
2018/12/05 04:12:00,PST,613.0
2018/12/05 04:56:00,PST,330.0
2018/12/05 05:40:00,PST,386.0
2018/12/05 06:24:00,PST,346.0
2018/12/05 07:08:00,PST,883.0
2018/12/05 07:52:00,PST,444.0
2018/12/05 08:36:00,PST,352.0
2018/12/05 09:20:00,PST,679.0
2018/12/05 10:04:00,PST,363.0
2018/12/05 10:48:00,PST,380.0
2018/12/05 11:32:00,PST,536.0
2018/12/05 12:16:00,PST,422.0
2018/12/05 13:00:00,PST,333.0
2018/12/05 13:44:00,PST,330.0
2018/12/05 14:28:00,PST,644.0
2018/12/05 15:12:00,PST,461.0
2018/12/05 15:56:00,PST,296.0
2018/12/05 16:40:00,PST,464.0
2018/12/05 17:24:00,PST,332.0
2018/12/05 18:08:00,PST,734.0
2018/12/05 18:52:00,PST,432.0
2018/12/05 19:36:00,PST,406.0
2018/12/05 20:20:00,PST,296.0
2018/12/05 21:04:00,PST,520.0
2018/12/05 21:48:00,PST,375.0
2018/12/05 22:32:00,PST,343.0
2018/12/05 23:16:00,PST,524.0
2018/12/06 00:00:00,PST,326.0
2018/12/06 00:44:00,PST,478.0
2018/12/06 01:28:00,PST,435.0
2018/12/06 02:12:00,PST,419.0
2018/12/06 02:56:00,PST,361.0
2018/12/06 03:40:00,PST,1508.0
2018/12/06 04:24:00,PST,545.0
2018/12/06 05:08:00,PST,518.0
2018/12/06 05:52:00,PST,380.0
2018/12/06 06:36:00,PST,523.0
2018/12/06 07:20:00,PST,589.0
2018/12/06 08:04:00,PST,380.0
2018/12/06 08:48:00,PST,341.0
2018/12/06 09:32:00,PST,303.0
2018/12/06 10:16:00,PST,499.0
2018/12/06 11:00:00,PST,353.0
2018/12/06 11:44:00,PST,325.0
2018/12/06 12:28:00,PST,285.0
2018/12/06 13:12:00,PST,340.0
2018/12/06 13:56:00,PST,601.0
2018/12/06 14:40:00,PST,277.0
2018/12/06 15:24:00,PST,348.0
2018/12/06 16:08:00,PST,324.0
2018/12/06 16:52:00,PST,535.0
2018/12/06 17:36:00,PST,377.0
2018/12/06 18:20:00,PST,793.0
2018/12/06 19:04:00,PST,355.0
2018/12/06 19:48:00,PST,453.0
2018/12/06 20:32:00,PST,813.0
2018/12/06 21:16:00,PST,385.0
2018/12/06 22:00:00,PST,341.0
2018/12/06 22:44:00,PST,298.0
2018/12/06 23:28:00,PST,322.0
2018/12/07 00:12:00,PST,436.0
2018/12/07 00:56:00,PST,357.0
2018/12/07 01:40:00,PST,356.0
2018/12/07 02:24:00,PST,316.0
2018/12/07 03:08:00,PST,634.0
2018/12/07 03:52:00,PST,311.0
2018/12/07 04:36:00,PST,336.0
2018/12/07 05:20:00,PST,313.0
2018/12/07 06:04:00,PST,343.0
2018/12/07 06:48:00,PST,696.0
2018/12/07 07:32:00,PST,400.0
2018/12/07 08:16:00,PST,394.0
2018/12/07 09:00:00,PST,285.0
2018/12/07 09:44:00,PST,408.0
2018/12/07 10:28:00,PST,322.0
2018/12/07 11:12:00,PST,329.0
2018/12/07 11:56:00,PST,524.0
2018/12/07 12:40:00,PST,360.0
2018/12/07 13:24:00,PST,440.0
2018/12/07 14:08:00,PST,461.0
2018/12/07 14:52:00,PST,488.0
2018/12/07 15:36:00,PST,1219.0
2018/12/07 16:20:00,PST,1777.0
2018/12/07 17:04:00,PST,404.0
2018/12/07 17:48:00,PST,369.0
2018/12/07 18:32:00,PST,767.0
2018/12/07 19:16:00,PST,726.0
2018/12/07 20:00:00,PST,294.0
2018/12/07 20:44:00,PST,349.0
2018/12/07 21:28:00,PST,425.0
2018/12/07 22:12:00,PST,387.0
2018/12/07 22:56:00,PST,409.0
2018/12/07 23:40:00,PST,456.0
2018/12/08 00:24:00,PST,330.0
2018/12/08 01:08:00,PST,399.0
2018/12/08 01:52:00,PST,377.0
2018/12/08 02:36:00,PST,459.0
2018/12/08 03:20:00,PST,284.0
2018/12/08 04:04:00,PST,371.0
2018/12/08 04:48:00,PST,328.0
2018/12/08 05:32:00,PST,578.0
2018/12/08 06:16:00,PST,385.0
2018/12/08 07:00:00,PST,402.0
2018/12/08 07:44:00,PST,809.0
2018/12/08 08:28:00,PST,435.0
2018/12/08 09:12:00,PST,569.0
2018/12/08 09:56:00,PST,365.0
2018/12/08 10:40:00,PST,318.0
2018/12/08 11:24:00,PST,306.0
2018/12/08 12:08:00,PST,458.0
2018/12/08 12:52:00,PST,966.0
2018/12/08 13:36:00,PST,299.0
2018/12/08 14:20:00,PST,297.0
2018/12/08 15:04:00,PST,330.0
2018/12/08 15:48:00,PST,511.0
2018/12/08 16:32:00,PST,328.0
2018/12/08 17:16:00,PST,766.0
2018/12/08 18:00:00,PST,444.0
2018/12/08 18:44:00,PST,745.0
2018/12/08 19:28:00,PST,461.0
2018/12/08 20:12:00,PST,303.0
2018/12/08 20:56:00,PST,359.0
2018/12/08 21:40:00,PST,389.0
2018/12/08 22:24:00,PST,415.0
2018/12/08 23:08:00,PST,421.0
2018/12/08 23:52:00,PST,364.0
2018/12/09 00:36:00,PST,361.0
2018/12/09 01:20:00,PST,400.0
2018/12/09 02:04:00,PST,348.0
2018/12/09 02:48:00,PST,395.0
2018/12/09 03:32:00,PST,389.0
2018/12/09 04:16:00,PST,326.0
2018/12/09 05:00:00,PST,347.0
2018/12/09 05:44:00,PST,510.0
2018/12/09 06:28:00,PST,299.0
2018/12/09 07:12:00,PST,271.0
2018/12/09 07:56:00,PST,413.0
2018/12/09 08:40:00,PST,298.0
2018/12/09 09:24:00,PST,373.0
2018/12/09 10:08:00,PST,304.0
2018/12/09 10:52:00,PST,404.0
2018/12/09 11:36:00,PST,315.0
2018/12/09 12:20:00,PST,324.0
2018/12/09 13:04:00,PST,327.0
2018/12/09 13:48:00,PST,410.0
2018/12/09 14:32:00,PST,422.0
2018/12/09 15:16:00,PST,423.0
2018/12/09 16:00:00,PST,323.0
2018/12/09 16:44:00,PST,379.0
2018/12/09 17:28:00,PST,690.0
2018/12/09 18:12:00,PST,353.0
2018/12/09 18:56:00,PST,421.0
2018/12/09 19:40:00,PST,347.0
2018/12/09 20:24:00,PST,324.0
2018/12/09 21:08:00,PST,749.0
2018/12/09 21:52:00,PST,333.0
2018/12/09 22:36:00,PST,378.0
2018/12/09 23:20:00,PST,382.0
2018/12/10 00:04:00,PST,353.0
2018/12/10 00:48:00,PST,684.0
2018/12/10 01:32:00,PST,418.0
2018/12/10 02:16:00,PST,366.0
2018/12/10 03:00:00,PST,341.0
2018/12/10 03:44:00,PST,377.0
2018/12/10 04:28:00,PST,461.0
2018/12/10 05:12:00,PST,357.0
2018/12/10 05:56:00,PST,759.0
2018/12/10 06:40:00,PST,854.0
2018/12/10 07:24:00,PST,426.0
2018/12/10 08:08:00,PST,318.0
2018/12/10 08:52:00,PST,1304.0
2018/12/10 09:36:00,PST,308.0
2018/12/10 10:20:00,PST,319.0
2018/12/10 11:04:00,PST,392.0
2018/12/10 11:48:00,PST,672.0
2018/12/10 12:32:00,PST,275.0
2018/12/10 13:16:00,PST,457.0
2018/12/10 14:00:00,PST,336.0
2018/12/10 14:44:00,PST,321.0
2018/12/10 15:28:00,PST,464.0
2018/12/10 16:12:00,PST,341.0
2018/12/10 16:56:00,PST,311.0
2018/12/10 17:40:00,PST,335.0
2018/12/10 18:24:00,PST,294.0
2018/12/10 19:08:00,PST,607.0
2018/12/10 19:52:00,PST,463.0
2018/12/10 20:36:00,PST,326.0
2018/12/10 21:20:00,PST,303.0
2018/12/10 22:04:00,PST,321.0
2018/12/10 22:48:00,PST,532.0
2018/12/10 23:32:00,PST,357.0
2018/12/11 00:16:00,PST,331.0
2018/12/11 01:00:00,PST,320.0
2018/12/11 01:44:00,PST,326.0
2018/12/11 02:28:00,PST,395.0
2018/12/11 03:12:00,PST,286.0
2018/12/11 03:56:00,PST,307.0
2018/12/11 04:40:00,PST,355.0
2018/12/11 05:24:00,PST,525.0
2018/12/11 06:08:00,PST,278.0
2018/12/11 06:52:00,PST,337.0
2018/12/11 07:36:00,PST,302.0
2018/12/11 08:20:00,PST,414.0
2018/12/11 09:04:00,PST,575.0
2018/12/11 09:48:00,PST,585.0
2018/12/11 10:32:00,PST,534.0
2018/12/11 11:16:00,PST,346.0
2018/12/11 12:00:00,PST,381.0
2018/12/11 12:44:00,PST,317.0
2018/12/11 13:28:00,PST,486.0
2018/12/11 14:12:00,PST,328.0
2018/12/11 14:56:00,PST,430.0
2018/12/11 15:40:00,PST,284.0
2018/12/11 16:24:00,PST,372.0
2018/12/11 17:08:00,PST,794.0
2018/12/11 17:52:00,PST,343.0
2018/12/11 18:36:00,PST,367.0
2018/12/11 19:20:00,PST,348.0
2018/12/11 20:04:00,PST,248.0
2018/12/11 20:48:00,PST,443.0
2018/12/11 21:32:00,PST,788.0
2018/12/11 22:16:00,PST,326.0
2018/12/11 23:00:00,PST,406.0
2018/12/11 23:44:00,PST,419.0
2018/12/12 00:28:00,PST,623.0
2018/12/12 01:12:00,PST,429.0
2018/12/12 01:56:00,PST,292.0
2018/12/12 02:40:00,PST,371.0
2018/12/12 03:24:00,PST,694.0
2018/12/12 04:08:00,PST,308.0
2018/12/12 04:52:00,PST,285.0
2018/12/12 05:36:00,PST,306.0
2018/12/12 06:20:00,PST,316.0
2018/12/12 07:04:00,PST,832.0
2018/12/12 07:48:00,PST,286.0
2018/12/12 08:32:00,PST,285.0
2018/12/12 09:16:00,PST,419.0
2018/12/12 10:00:00,PST,292.0
2018/12/12 10:44:00,PST,341.0
2018/12/12 11:28:00,PST,604.0
2018/12/12 12:12:00,PST,347.0
2018/12/12 12:56:00,PST,316.0
2018/12/12 13:40:00,PST,343.0
2018/12/12 14:24:00,PST,327.0
2018/12/12 15:08:00,PST,500.0
2018/12/12 15:52:00,PST,279.0
2018/12/12 16:36:00,PST,356.0
2018/12/12 17:20:00,PST,378.0
2018/12/12 18:04:00,PST,331.0
2018/12/12 18:48:00,PST,440.0
2018/12/12 19:32:00,PST,392.0
2018/12/12 20:16:00,PST,377.0
2018/12/12 21:00:00,PST,506.0
2018/12/12 21:44:00,PST,297.0
2018/12/12 22:28:00,PST,372.0
2018/12/12 23:12:00,PST,341.0
2018/12/12 23:56:00,PST,1185.0
2018/12/13 00:40:00,PST,487.0
2018/12/13 01:24:00,PST,364.0
2018/12/13 02:08:00,PST,374.0
2018/12/13 02:52:00,PST,290.0
2018/12/13 03:36:00,PST,1273.0
2018/12/13 04:20:00,PST,461.0
2018/12/13 05:04:00,PST,402.0
2018/12/13 05:48:00,PST,465.0
2018/12/13 06:32:00,PST,323.0
2018/12/13 07:16:00,PST,417.0
2018/12/13 08:00:00,PST,303.0
2018/12/13 08:44:00,PST,358.0
2018/12/13 09:28:00,PST,415.0
2018/12/13 10:12:00,PST,313.0
2018/12/13 10:56:00,PST,409.0
2018/12/13 11:40:00,PST,288.0
2018/12/13 12:24:00,PST,297.0
2018/12/13 13:08:00,PST,382.0
2018/12/13 13:52:00,PST,293.0
2018/12/13 14:36:00,PST,288.0
2018/12/13 15:20:00,PST,517.0
2018/12/13 16:04:00,PST,301.0
2018/12/13 16:48:00,PST,319.0
2018/12/13 17:32:00,PST,509.0
2018/12/13 18:16:00,PST,325.0
2018/12/13 19:00:00,PST,479.0
2018/12/13 19:44:00,PST,413.0
2018/12/13 20:28:00,PST,841.0
2018/12/13 21:12:00,PST,280.0
2018/12/13 21:56:00,PST,327.0
2018/12/13 22:40:00,PST,650.0
2018/12/13 23:24:00,PST,416.0
2018/12/14 00:08:00,PST,354.0
2018/12/14 00:52:00,PST,373.0
2018/12/14 01:36:00,PST,306.0
2018/12/14 02:20:00,PST,551.0
2018/12/14 03:04:00,PST,374.0
2018/12/14 03:48:00,PST,389.0
2018/12/14 04:32:00,PST,305.0
2018/12/14 05:16:00,PST,324.0
2018/12/14 06:00:00,PST,518.0
2018/12/14 06:44:00,PST,903.0
2018/12/14 07:28:00,PST,384.0
2018/12/14 08:12:00,PST,329.0
2018/12/14 08:56:00,PST,544.0
2018/12/14 09:40:00,PST,317.0
2018/12/14 10:24:00,PST,335.0
2018/12/14 11:08:00,PST,392.0
2018/12/14 11:52:00,PST,374.0
2018/12/14 12:36:00,PST,730.0
2018/12/14 13:20:00,PST,536.0
2018/12/14 14:04:00,PST,304.0
2018/12/14 14:48:00,PST,409.0
2018/12/14 15:32:00,PST,325.0
2018/12/14 16:16:00,PST,839.0
2018/12/14 17:00:00,PST,405.0
2018/12/14 17:44:00,PST,332.0
2018/12/14 18:28:00,PST,357.0
2018/12/14 19:12:00,PST,351.0
2018/12/14 19:56:00,PST,376.0
2018/12/14 20:40:00,PST,622.0
2018/12/14 21:24:00,PST,302.0
2018/12/14 22:08:00,PST,349.0
2018/12/14 22:52:00,PST,391.0
2018/12/14 23:36:00,PST,399.0
2018/12/15 00:20:00,PST,452.0
2018/12/15 01:04:00,PST,291.0
2018/12/15 01:48:00,PST,284.0
2018/12/15 02:32:00,PST,381.0
2018/12/15 03:16:00,PST,417.0
2018/12/15 04:00:00,PST,404.0
2018/12/15 04:44:00,PST,306.0
2018/12/15 05:28:00,PST,349.0
2018/12/15 06:12:00,PST,259.0
2018/12/15 06:56:00,PST,415.0
2018/12/15 07:40:00,PST,363.0
2018/12/15 08:24:00,PST,273.0
2018/12/15 09:08:00,PST,345.0
2018/12/15 09:52:00,PST,344.0
2018/12/15 10:36:00,PST,388.0
2018/12/15 11:20:00,PST,333.0
2018/12/15 12:04:00,PST,781.0
2018/12/15 12:48:00,PST,665.0
2018/12/15 13:32:00,PST,410.0
2018/12/15 14:16:00,PST,494.0
2018/12/15 15:00:00,PST,459.0
2018/12/15 15:44:00,PST,378.0
2018/12/15 16:28:00,PST,593.0
2018/12/15 17:12:00,PST,404.0
2018/12/15 17:56:00,PST,428.0
2018/12/15 18:40:00,PST,407.0
2018/12/15 19:24:00,PST,724.0
2018/12/15 20:08:00,PST,395.0
2018/12/15 20:52:00,PST,446.0
2018/12/15 21:36:00,PST,380.0
2018/12/15 22:20:00,PST,392.0
2018/12/15 23:04:00,PST,499.0
2018/12/15 23:48:00,PST,451.0
2018/12/16 00:32:00,PST,329.0
2018/12/16 01:16:00,PST,420.0
2018/12/16 02:00:00,PST,289.0
2018/12/16 02:44:00,PST,565.0
2018/12/16 03:28:00,PST,356.0
2018/12/16 04:12:00,PST,302.0
2018/12/16 04:56:00,PST,1214.0
2018/12/16 05:40:00,PST,309.0
2018/12/16 06:24:00,PST,582.0
2018/12/16 07:08:00,PST,416.0
2018/12/16 07:52:00,PST,368.0
2018/12/16 08:36:00,PST,310.0
2018/12/16 09:20:00,PST,359.0
2018/12/16 10:04:00,PST,328.0
2018/12/16 10:48:00,PST,290.0
2018/12/16 11:32:00,PST,331.0
2018/12/16 12:16:00,PST,324.0
2018/12/16 13:00:00,PST,572.0
2018/12/16 13:44:00,PST,418.0
2018/12/16 14:28:00,PST,277.0
2018/12/16 15:12:00,PST,322.0
2018/12/16 15:56:00,PST,428.0
2018/12/16 16:40:00,PST,515.0
2018/12/16 17:24:00,PST,250.0
2018/12/16 18:08:00,PST,347.0
2018/12/16 18:52:00,PST,359.0
2018/12/16 19:36:00,PST,392.0
2018/12/16 20:20:00,PST,728.0
2018/12/16 21:04:00,PST,383.0
2018/12/16 21:48:00,PST,309.0
2018/12/16 22:32:00,PST,349.0
2018/12/16 23:16:00,PST,278.0
2018/12/17 00:00:00,PST,342.0
2018/12/17 00:44:00,PST,288.0
2018/12/17 01:28:00,PST,407.0
2018/12/17 02:12:00,PST,314.0
2018/12/17 02:56:00,PST,372.0
2018/12/17 03:40:00,PST,433.0
2018/12/17 04:24:00,PST,303.0
2018/12/17 05:08:00,PST,341.0
2018/12/17 05:52:00,PST,333.0
2018/12/17 06:36:00,PST,316.0
2018/12/17 07:20:00,PST,625.0
2018/12/17 08:04:00,PST,707.0
2018/12/17 08:48:00,PST,904.0
2018/12/17 09:32:00,PST,339.0
2018/12/17 10:16:00,PST,295.0
2018/12/17 11:00:00,PST,312.0
2018/12/17 11:44:00,PST,367.0
2018/12/17 12:28:00,PST,417.0
2018/12/17 13:12:00,PST,653.0
2018/12/17 13:56:00,PST,291.0
2018/12/17 14:40:00,PST,337.0
2018/12/17 15:24:00,PST,654.0
2018/12/17 16:08:00,PST,396.0
2018/12/17 16:52:00,PST,584.0
2018/12/17 17:36:00,PST,368.0
2018/12/17 18:20:00,PST,490.0
2018/12/17 19:04:00,PST,368.0
2018/12/17 19:48:00,PST,393.0
2018/12/17 20:32:00,PST,545.0
2018/12/17 21:16:00,PST,422.0
2018/12/17 22:00:00,PST,363.0
2018/12/17 22:44:00,PST,445.0
2018/12/17 23:28:00,PST,452.0
2018/12/18 00:12:00,PST,612.0
2018/12/18 00:56:00,PST,432.0
2018/12/18 01:40:00,PST,339.0
2018/12/18 02:24:00,PST,434.0
2018/12/18 03:08:00,PST,695.0
2018/12/18 03:52:00,PST,519.0
2018/12/18 04:36:00,PST,291.0
2018/12/18 05:20:00,PST,333.0
2018/12/18 06:04:00,PST,371.0
2018/12/18 06:48:00,PST,614.0
2018/12/18 07:32:00,PST,331.0
2018/12/18 08:16:00,PST,330.0
2018/12/18 09:00:00,PST,343.0
2018/12/18 09:44:00,PST,337.0
2018/12/18 10:28:00,PST,518.0
2018/12/18 11:12:00,PST,527.0
2018/12/18 11:56:00,PST,503.0
2018/12/18 12:40:00,PST,815.0
2018/12/18 13:24:00,PST,334.0
2018/12/18 14:08:00,PST,542.0
2018/12/18 14:52:00,PST,366.0
2018/12/18 15:36:00,PST,365.0
2018/12/18 16:20:00,PST,491.0
2018/12/18 17:04:00,PST,291.0
2018/12/18 17:48:00,PST,353.0
2018/12/18 18:32:00,PST,409.0
2018/12/18 19:16:00,PST,444.0
2018/12/18 20:00:00,PST,437.0
2018/12/18 20:44:00,PST,401.0
2018/12/18 21:28:00,PST,1342.0
2018/12/18 22:12:00,PST,1224.0
